area_id,area,lat,lon
249,AL MUTEENA,25.27390336,55.32325227
390,BURJ KHALIFA,25.19005375,55.27814093
343,AL WARSAN FIRST,25.1599767,55.4246648
350,AL THANYAH FIFTH,25.051959,55.15578
485,MEAISEM FIRST,25.0177834,55.18312486
330,MARSA DUBAI,25.09547176,55.13076456
445,JABAL ALI FIRST,25.03192836,55.14232708
447,AL KHAIRAN FIRST,25.19564786,55.36033252
443,AL THANYAH FIRST,25.0987035,55.1725124
484,NADD HESSA,25.12321,55.386619
334,AL JADAF,25.21430093,55.32735895
462,MADINAT AL MATAAR,24.91892638,55.18015257
458,DUBAI INVESTMENT PARK FIRST,24.99222384,55.16651934
434,WADI AL SAFA 6,25.05482178,55.27089764
317,JUMEIRAH FIRST,25.2249316,55.2584809
409,AL BARSHA SOUTH THIRD,25.06209482,55.23443163
528,AL YUFRAH 3,25.008019,55.4433
523,AL HEBIAH THIRD,25.02147288,55.26216265
526,BUSINESS BAY,25.18762593,55.27989946
451,AL HEBIAH FIFTH,25.00242864,55.24042905
482,HADAEQ SHEIKH MOHAMMED BIN RASHID,25.1053253,55.26733804
507,AL YELAYISS 2,24.99404911,55.29142486
351,AL THANYAH THIRD,25.094255,55.161612
441,AL BARSHA SOUTH FOURTH,25.05936493,55.21207713
382,AL WAHEDA,25.2890207,55.3389218
352,AL THANAYAH FOURTH,25.06366745,55.1623514
369,AL BARSHA THIRD,25.09410788,55.198138
367,AL SUQ AL KABEER,25.26375927,55.29585214
442,AL BARSHA SOUTH FIFTH,25.04291825,55.18747333
435,AL HEBIAH FOURTH,25.03502194,55.21354639
467,WADI AL SAFA 5,25.08232101,55.36365192
531,AL HEBIAH SIXTH,25.02119178,55.26280555
465,WADI AL SAFA 3,25.11569338,55.32337167
466,WADI AL SAFA 4,25.07281915,55.31302736
232,MIRDIF,25.22331903,55.42166405
444,AL HEBIAH FIRST,25.04998492,55.23894687
412,AL MERKADH,25.16984676,55.29268975
464,WADI AL SAFA 2,25.10606176,55.36153117
230,ABU HAIL,25.28508482,55.3299734
278,MANKHOOL,25.24818631,55.29367745
410,PALM JUMEIRAH,25.1193271,55.1317401
332,ZAABEEL SECOND,25.1988826,55.29829935
318,JUMEIRAH THIRD,25.1652986,55.2117584
314,AL SAFFA SECOND,25.15988772,55.22589937
264,NAD AL HAMAR,25.20191882,55.38446945
459,DUBAI INVESTMENT PARK SECOND,24.97551093,55.20975585
414,AL BARSHA SOUTH SECOND,25.07190314,55.23227541
473,WADI ALSHABAK,25.17596736,55.48532569
307,AL SAFOUH FIRST,25.12303578,55.1792713
316,AL MIZHAR FIRST,25.2492157,55.43985371
398,AL AWEER FIRST,25.18189767,55.54493543
370,UM SUQAIM THIRD,25.14280454,55.18731602
333,MADINAT DUBAI ALMELAHEYAH,25.266914,55.266119
402,OUD AL MUTEENA FIRST,25.26323876,55.44034857
506,AL YELAYISS 1,25.01299444,55.31510801
469,AL YUFRAH 1,24.99365013,55.42259018
413,WORLD ISLANDS,25.2143517,55.168612
335,NAD AL SHIBA FIRST,25.14725852,55.30501384
297,AL WARQA FIRST,25.18885432,55.40632897
364,AL WASL,25.19685113,55.25356365
397,AL KHAWANEEJ SECOND,25.23068532,55.52192133
296,AL RUWAYYAH,25.0892985,55.3955555
406,NAD AL SHIBA FOURTH,25.13641314,55.36503475
298,AL WARQA THIRD,25.19288494,55.42091217
449,AL YUFRAH 2,24.96525116,55.39088193
359,AL TWAR THIRD,25.24967361,55.39538991
366,AL KIFAF,25.23424657,55.29696777
233,HOR AL ANZ,25.27679861,55.33663024
266,AL SATWA,25.21992155,55.2742099
394,AL MIZHAR SECOND,25.24270313,55.45960815
536,AL KHAIRAN,25.22167234,55.35862056
378,AL GARHOUD,25.24277523,55.35062533
301,AL NAHDA SECOND,25.29118713,55.37837195
388,OUD METHA,25.2392057,55.31307514
480,SAIH SHUAIB 1,24.90299131,54.99456636
401,WADI AL AMARDI,25.20082678,55.50050607
285,NAD AL SHIBA,25.1451203,55.3392738
415,AL BARSHA SOUTH FIRST,25.08423752,55.2301129
276,AL BADA,25.22531148,55.26867528
483,WARSAN FOURTH,25.14379674,55.40635719
376,RAS AL KHOR INDUSTRIAL FIRST,25.17775008,55.33622108
329,TRADE CENTER SECOND,25.21364395,55.28021207
362,NAIF,25.271654,55.30894993
300,AL RASHIDIYA,25.2234238,55.3915625
452,AL HEBIAH SECOND,25.03836176,55.24784173
340,AL QOUZ SECOND,25.15451869,55.27015204
393,AL BARSHA SECOND,25.1003494,55.21114752
463,WADI AL SAFA 7,25.04253774,55.28449984
244,AL MURQABAT,25.26602253,55.32333973
306,AL TWAR FOURTH,25.26171489,55.40048216
478,JABAL ALI INDUSTRIAL SECOND,24.95823558,55.10601052
312,MUHAISANAH FIRST,25.24457265,55.42065575
432,PALM DEIRA,25.33227698,55.2704399
313,AL SAFFA FIRST,25.17576726,55.23830586
238,AL DHAGAYA,25.2713353,55.29908267
455,SAIH SHUAIB 4,24.81213885,55.1054034
337,NAD AL SHIBA THIRD,25.15511424,55.37577353
354,AL WARQA SECOND,25.19887303,55.41085323
240,PORT SAEED,25.24449134,55.33247631
328,AL JAFLIYA,25.23886548,55.28698081
403,AL MIZHAR THIRD,25.2641115,55.46349249
372,AL QOUZ INDUSTRIAL SECOND,25.13593773,55.24910906
486,MEAISEM SECOND,24.99454811,55.21269736
299,AL WARQA FOURTH,25.19072164,55.44018296
339,AL MARARR,25.27784,55.31162545
348,AL QOUZ FOURTH,25.15204218,55.2538392
453,SAIH SHUAIB 2,24.87549227,55.05686863
505,MADINAT HIND 4,24.9981931,55.37157657
338,AL QOUZ FIRST,25.16471441,55.25453415
284,JABAL ALI,25.01126,55.06116
267,AL RAFFA,25.25565524,55.28814325
355,AL NAHDA FIRST,25.28850649,55.36400769
399,AL AWEER SECOND,25.17032522,55.55903798
304,UM SUQAIM SECOND,25.15387781,55.19248178
358,AL TWAR FIRST,25.27129799,55.36275925
527,ISLAND 2,25.1985959,55.2240363
395,JABAL ALI INDUSTRIAL FIRST,25.00148416,55.13019157
396,AL KHAWANEEJ FIRST,25.24048272,55.48303963
269,AL HAMRIYA,25.26363256,55.30588646
235,EYAL NASSER,25.27414,55.303948
374,UM AL SHEIF,25.1314317,55.20578466
417,SIKKAT AL KHAIL NORTH,25.27162,55.29921
303,UM SUQAIM FIRST,25.16754718,55.21195292
311,MUHAISANAH THIRD,25.27199581,55.40397173
280,ZAREEBA DUVIYA,25.25479,55.29937
229,UM SUQAIM,25.16362,55.21454
368,AL BARSHA FIRST,25.10849909,55.1923845
371,AL SAFOUH SECOND,25.10001893,55.16360094
315,AL MANARA,25.1439176,55.21423946
247,AL KHABEESI,25.26938697,55.33825218
231,AL MAMZER,25.31710909,55.34787801
